Citations,Auteur,Source,Thèmes,Nombre d'avis,Notes
“Les lettres anonymes ont le grand avantage qu'on n'est pas forcé d'y répondre.”,"Alexandre Dumas, fils",,"Absurde, Anonyme",,
“Savoir si l’on aimerait mieux mourir de faim ou de soif est une question qui apparemment plaît toujours.”,Pierre Daninos,Le Jacassin,Absurde,,
"“L’escargot est à la fois mâle et femelle, mais il ne peut pas en profiter.”",Jean-Charles,La Foire aux cancres,Absurde,,
“Personne n'accepte de conseils ; mais tout le monde acceptera de l'argent : donc l'argent vaut mieux que les conseils.”,Jonathan Swift,Instructions aux domestiques,Absurde,,
“Comment le vent sait-il dans quelle direction il doit souffler ?”,Stanislaw Jerzy Lec,Nouvelles pensées échevelées,Absurde,,
"“Le monde fut créé le 22 octobre 4004 avant Jésus-Christ, à 6 heures de l’après-midi.”",James Usher,Les annales du monde,Absurde,,
“On ne peut remplir que ce qui est vide.”,Jean-Marie Adiaffi,La carte d'identité,Absurde,,
"“Dans le méli-mélo, j'ai toujours préféré le meli.”",Jean-François Deniau,Libération - 27 Mai 2000,Absurde,,
"“Pour voir qu'il fait noir, on n'a pas besoin d'être une lumière.”",Philippe Geluck,L'avenir du chat,Absurde,,
“La géographie. Où la Seine se jetterait-elle si elle prenait sa source dans les Pyrénées ?”,Jean Tardieu,Un Mot pour un autre,Absurde,,
"“Il ne faut pas manger tes ongles parce qu'ils sont à toi.. Si tu aimes les ongles, mange ceux des autres.”",Georges Darien,Le Voleur,Absurde,,
“L'équilibre est à mi-chemin entre les deux extrêmes.”,Bernard Werber,L'empire des anges,Absurde,,
“La mort est un état de non-existence. Ce qui n’est pas n’existe pas. Donc la mort n’existe pas.”,Woody Allen,Destins tordus,Absurde,,
"“A quoi arrive-t-on, si l’on arrive : pour le peu de temps qu’on y passera.”",Eugène Vivier,Suite à quelques paragraphes,Absurde,,
"“Si les points de suspension pouvaient parler, ils pourraient en dire des choses et des choses !”",Pierre Dac,Y'a du mou dans la corde à noeuds !,Absurde,,
"“Le mot liberté n'admet, par définition, aucune restriction.”",Jean Yanne,"Tout le monde il est beau, tout le monde il est gentil",Absurde,,
“Il y a des maladies qui sont saines.”,Eugène Ionesco,Rhinocéros,Absurde,,
“Les racines des mots sont-elles carrées ?”,Eugène Ionesco,La leçon,Absurde,,
"“Je sais maintenant qu'à l'origine, le chaos fut illuminé d'un immense éclat de rire.”",René Daumal,L'Evidence absurde,Absurde,,
"“Prenez un cercle, caressez-le, il deviendra vicieux !”",Eugène Ionesco,La Cantatrice chauve,Absurde,,
“Les morts sont plus nombreux que les vivants. Leur nombre augmente. Les vivants sont rares.”,Eugène Ionesco,Rhinoceros,Absurde,,
"“L'expérience nous apprend que lorsqu'on entend sonner à la porte, c'est qu'il n'y a jamais personne.”",Eugène Ionesco,La cantatrice chauve,Absurde,,
“Tous les docteurs ne sont que des charlatans. Et tous les malades aussi. Seule la marine est honnête en Angleterre.”,Eugène Ionesco,La Cantatrice chauve,Absurde,,
“Les sons doivent être saisis au vol par les ailes pour qu’ils ne tombent pas dans les oreilles des sourds.”,Eugène Ionesco,La leçon,Absurde,,
“Un médecin consciencieux doit mourir avec le malade s’ils ne peuvent pas guérir ensembles.”,Eugène Ionesco,La Cantatrice chauve,Absurde,,
"“La vie est surprenante, un tas de choses inattendues peuvent vous arriver. Des petites, pas des grandes.”",Eugène Ionesco,Le Soliatire,Absurde,,
"“Le papier, c’est pour écrire, le chat c’est pour le rat. Le fromage c’est pour griffer.”",Eugène Ionesco,La Cantatrice chauve,Absurde,,
"“Vouloir être de son temps, c’est déjà être dépassé.”",Eugène Ionesco,Notes et contre-notes,Absurde,,
"“Si j'ai l'occasion, j'aimerais mieux mourir de mon vivant !”",Coluche,L’Etudiant - 1980,Absurde,77,4
"“Tous les chats sont mortels, Socrate est mortel, donc Socrate est un chat.”",Eugène Ionesco,Rhinocéros,Absurde,,
"“Moi, je dis qu’il existe une société secrète avec des ramifications dans le monde entier, qui complote pour répandre la rumeur qu‘il existe un complot universel.”",Umberto Eco,Le Pendule de Foucault,Absurde,,
“La tendresse tue. L'absence de tendresse assassine.”,Yves Navarre,Le Coeur qui cogne,"Tendresse, Tendresse",,
“Tendresse maternelle. Toujours se renouvelle.”,Proverbe français,,Tendresse,,
“Sans la tendresse. L'amour ne serait rien.”,Marie Laforêt,La tendresse,Tendresse,,
“La tendresse est le repos de la passion.”,Joseph Joubert,Carnets,"Tendresse, Passion",21,4
“La vraie tendresse est avant tout affaire de violence contenue...”,Jean-Marie Poupart,Beaux-draps,Tendresse,,
“La tendresse est l’abat-jour de la passion.”,Pierre Bourgault,Bourgault doux-amer,"Tendresse, Passion",,
“La poésie est la tendresse espiègle des jeux de mots.”,Michel Bouthot,Chemins parsemés d'immortelles pensées,Tendresse,,
“La tendresse a ses raisons que le coeur comprend très bien.”,Anonyme,,Tendresse,,
"“Pour beaucoup de femmes, le plus court chemin vers la perfection, c’est la tendresse.”",François Mauriac,Amosdée,Tendresse,,
“La tendresse sauve tout. Quand l'amour a mis les bouts.”,Pierre Perret,L’amour et la tendresse,Tendresse,,
“Il n'y a pas de charme égal à la tendresse du cœur.”,Jane Austen,,Tendresse,,
“Tout le devoir ne vaut pas une faute qui s'est commise par tendresse.”,Madame de la Sablière,,Tendresse,,
“La tendresse et le ridicule ont parfois un air de famille.”,José Fréchette,Le Père de Lisa,Tendresse,,
"“La tendresse, c'est seulement de la cruauté qui se repose.”",François Bott,Le boulevard des sentiments,Tendresse,,
"“Il faut s'endurcir, sans jamais se départir de sa tendresse.”","Ernesto ""Che"" Guevara",,Tendresse,,
“La tendresse a des secondes qui battent plus lentement que les autres.”,Romain Gary,Gros-Câlin,Tendresse,1,5
“Les seuls beaux yeux sont ceux qui vous regardent avec tendresse.”,Coco Chanel,,Tendresse,,
“L'ironie n'est souvent qu'une pudeur de la tendresse.”,Etienne Rey,De l'Amour de Stendhal,Tendresse,,
“Le passage clouté est le haut lieu de la tendresse municipale.”,France Quéré,Au fil de l'autre,Tendresse,,
“L'aurore ressemble à un regard d'une tendresse infinie.”,Nicole Houde,La Maison du remous,Tendresse,,
“Le bonheur rend égoïste. Il anesthésie les fibres de la tendresse. Chez les humains.”,Madeleine Gérôme,Jouer sa vie,Tendresse,,
"“La belle tendresse gauche appartient à ceux qui vont partir, comme à ceux qui vont mourir.”",Marie-Claire Blais,Le Jour est noir,Tendresse,,
“La tendresse est respect et émerveillement de libre connaissance à travers la fibre de la fidélité...”,Rina Lasnier,Miroirs,"Tendresse, Fidelite",,
“Il y aurait beaucoup de tendresse à apprendre des loups et beaucoup de férocité des tourterelles.”,Yvan Audouard,Les Pensées,Tendresse,,
“La tendresse inspirée par la mort fait aimer les vivants qui l'éprouvent.”,André Malraux,La tête d'obsidienne,Tendresse,,
“Le langage de l'affection chérit des formes qui expriment la tendresse.”,F Brunot,La pensée et la langue,Tendresse,,
"“Dans une journée aussi belle. Mes amis, chantons en ""chorus"". A la tendresse maternelle.”",Alfred de Musset,A ma mère,Tendresse,,
“La tendresse; ce qui reste de l’amour derrière les barrières que le temps dresse.”,Grand Corps Malade,Rencontre,Tendresse,,
“Le plus court chemin du plaisir au bonheur passe par la tendresse.”,Grégoire Lacroix,Les Euphorismes de Grégoire,Tendresse,,
“La mémoire du dégoût est plus grande que la mémoire de la tendresse !”,Milan Kundera,Le Livre du rire et de l’oubli,Tendresse,,
“Il y a des coeurs qui n'arrivent que par la lassitude jusqu'à la tendresse.”,Louis Massignon,,Tendresse,,
"“C'est cela la tendresse, l'équilibre des gestes, des mots qui sont à la mesure des sentiments.”",Anne Bernard,L'amour sans passeport,Tendresse,,
"“La force de ceux qui aiment apaise même les tourments, la tendresse des femmes recèle tant de puissance.”",Innokenti Annenski,Ma nostalgie,Tendresse,,
“Il n'y a pas de dureté plus implacable que celle des regards qui sont revenus de la tendresse.”,Etienne Rey,De l'Amour de Stendhal,Tendresse,,
"“Peu de femmes inspirent la tendresse après l'amour, peu d'hommes ont la courtoisie de la feindre.”",Maurice Chapelan,Amoralités familières,Tendresse,,
"“Ah, la tendresse ! Cet état d'âme qui vous impose de reconnaître vos propres sentiments dans ceux des autres.”",Louis Caron,Le canard de bois,Tendresse,,
“La vue d'un corps endormi peut-elle appeler autre chose que le meurtre comme suprême tendresse !”,Jean Giraudoux,Judith,Tendresse,,
"“Ce serait donc ça le plaisir ? La tendresse et les muscles mêlés, ensemble, se liant et déliant ?”",Robert Lalonde,Le Dernier été des Indiens,Tendresse,,
“Une tendresse ne se mesure vraiment qu'à l'étendue du sacrifice qu'elle peut inspirer.”,Marie-Antoinette Grégoire-Coupal,Le Sanglot sous les rires,Tendresse,,
"“Quand deux êtres se sont aimés, ils ne peuvent se dissimuler la moindre absence de tendresse dans un baiser.”",Graham Greene,La Fin d’une liaison,Tendresse,,
"“Les femmes sont les êtres qui nous complètent, qui complètent nos pulsions de désir, d’amour et de tendresse.”",Georges Moustaki,Evene.fr - Décembre 2005,Tendresse,,
"“Tout au fond de votre coeur, un germe de tendresse n'attend qu'un sourire chaleureux pour se développer.”",Roland Delisle,,Tendresse,,
"“L'amour, ce n'est pas faire des choses extraordinaires, héroïques, mais de faire des choses ordinaires avec tendresse.”",Jean Vanier,,Tendresse,,
"“On veut se faire consoler, on ne veut pas se comprendre. On demande de la compassion, on ne demande pas de la tendresse.”",Robert Lalonde,La belle épouvante,Tendresse,,
"“Le vice empoisonne le plaisir, la passion le corrompt, la tempérance l'aiguise, l'innocence le purifie, la tendresse le double.”",Proverbe chinois,,Tendresse,,
"“Vous désirez savoir de moi d'où me vient pour vous ma tendresse. Je vous aime, voici pourquoi : vous ressemblez à ma jeunesse.”",Sully Prudhomme,,Tendresse,,
“Ce n'est pas le rince-doigts qui fait les mains propres ni le baisemain qui fait la tendresse.”,Léo Ferré,,Tendresse,,
“Rien n’est petit dans l’amour. Ceux qui attendent les grandes occasions pour prouver leur tendresse ne savent pas aimer.”,Laure Conan,Angéline de Montbrun,Tendresse,,
"“Aimer, c'est se rebeller un peu ; c'est comploter une tendresse exclusive sous les regards d'autrui.”",Michel Bouthot,Chemins parsemés d'immortelles pensées,Tendresse,,
"“La tendresse est plus forte que la dureté, l'eau est plus forte que le rocher, l'amour est plus fort que la violence.”",Hermann Hesse,,Tendresse,,
"“Dans l’adultère ont habituellement leur part la tendresse et l’abnégation ; dans l’homicide, le courage ; dans les profanations et le blasphème, certaines lueurs de satanisme.”",Jorge Luis Borges,Fictions,Tendresse,,
“L'orgueil fait partie de cette tendresse infinie que l'on doit avoir pour soi-même et sans laquelle tout bonheur me paraît improbable.”,Sacha Guitry,Jusqu'à nouvel ordre,Tendresse,,
"“Amour, tendresse, douceurs, tels sont les éléments principaux dont Dieu a formé l'âme de la femme ; aimer, guérir, consoler, telle est sa destination sur terre.”",Henri Conscience,,Tendresse,,
"“Ma mère, à toi je me confie.. Des écueils d'un monde trompeur. Écarte ma faible nacelle.. Je veux devoir tout mon bonheur . A la tendresse maternelle.”",Alfred de Musset,A ma mère,Tendresse,,
“Il n'y a rien de plus complet qu'un couple qui traverse le temps et qui accepte que la tendresse envahisse la passion.”,Marc Levy,Et si c'était vrai...,Tendresse,,
"“Ah ! mon fils ! que la tendresse d’un père est aisément rappelée, et que les offenses d’un fils s’évanouissent vite au moindre mot de repentir !”",Molière,Dom Juan,Tendresse,,
“Qu'est-ce donc que toute notre tendresse ? Rien. - qu'une petite vague qui racle sur la terre et s'en retourne à la haute mer. ”,Léon-Paul Fargue,Poèmes,Tendresse,,
“Dieu n'a pas créé l'homme et la femme l'un après l'autre. Il a créé deux corps jumeaux unis qu'il a tranchés depuis le jour où il a créé la tendresse.”,Jean Giraudoux,,Tendresse,,
"“La tendresse du coeur, c'est ce que la nature reconnaît donner aux hommes en leur accordant les larmes ; c'est là la meilleure part de nos sentiments.”",Juvénal,Satires,Tendresse,,
"“Tendresse est tendance à se livrer en toute faiblesse à la douceur d'être faible. Mais d'où vient ce ""plaisir"" ? Cette faiblesse, il est vrai, cet attendrissement - prépare un coup d'extrême force.”",Paul Valéry,Mélanges,Tendresse,,
"“Vous savez ce que ça veut dire de rentrer chez soi le soir auprès d'une petite femme qui vous comble d'amour, de tendresse, d'affection ? Ca veut dire que vous vous êtes trompé de maison.”",Henry Youngman,,Tendresse,,
"“On doit avoir pitié des uns et des autres, mais on doit avoir pour les uns une pitié qui naît de tendresse, et pour les autres une pitié qui naît de mépris.”",Blaise Pascal,Pensées,Tendresse,,
“C'est dans les bras d'une maman que s'apprend la tendresse et c'est dans ceux d'un amant qu'elle se développe.”,Roland Delisle,,Tendresse,,
“La mère qui laisse voir toute sa tendresse à ses enfants crée en eux l'ingratitude : l'ingratitude vient peut-être de l'impossibilité où l'on est de s'acquitter.”,Honoré de Balzac,Psychologie du mariage,Tendresse,,
"“Il y a toutes sortes d'amours et, à l'intérieur de chacun d'entre eux, une infinité de degrés et de paliers, qui s'appellent affection, adoration, attachement, inclination, tendresse, passion et le reste.”",Jean Simard,La séparation,Tendresse,,
"“Un animal, c'est de la vie enveloppée de fourrure ou d'écailles, habitée par l'inquiétude, capable oh combien capable de tendresse, de force, de courage et de peur.”",Jean-Paul Lebourhis,L'exil intérieur,Tendresse,,
"“La passion n'est pas la seule base du mariage. Il y a aussi l'amitié, la tendresse, la confiance, le respect, le support mutuel, la joie de voir grandir ses enfants.”",Hélène Brodeur,Chroniques du Nouvel-Ontario,Tendresse,,
"“Avec de la tendresse autour de soi, on n'est pas incapable de vivre... Il n'y a que les âmes tout à fait seules qui aient besoin de mourir...”",Hector Bernier,Au large de l'écueil,Tendresse,,
"“Chaque écrivain tout au long de sa vie exprime un seul thème. C'est la nécessité de compréhension, de tendresse et de persévérance dans l'infortune chez des individus traqués par les circonstances.”",Tennessee Williams,,Tendresse,,
“L’homme ne peut guère avoir pour la femme que du désir qui assomme la femme ; la femme ne peut guère avoir pour l’homme que de la tendresse qui assomme l’homme.”,Henry de Montherlant,Les jeunes filles,Tendresse,,
"“La gaieté se contente des premiers mots venus, mais à la tendresse il faut du style. Il y a des paroles sérieuses qui sonnent faux, de gaies aussi, mais on s'en aperçoit moins.”",Jules Renard,Journal 1893 - 1898,Tendresse,,
"“Il doit bien exister au monde quelque chose, un lieu qui ne soit pas un rapport de force avec autrui ou soi-même. La tendresse, peut-être.”",Gérard Philipe,,Tendresse,,
"“Je relis le Petit Prince. L'histoire de la rose et du renard, la rencontre du Petit Prince et de la mort sont des choses admirables et d'une tendresse presque insupportable.”",Gérard Philipe,,Tendresse,,
"“Le caractère normal de la vie sexuelle est assuré par la conjonction vers l'objet et le but sexuel de deux courants, celui de la tendresse et celui de la sensualité.”",Sigmund Freud,Trois essais sur la théorie sexuelle,Tendresse,,
"“J'ai tant reçu de la vie, de joie, de tendresse, de plaisir, d'amitié, de bonheur, de savoir, que ma seule angoisse est de n'avoir pas su donner assez avant de m'endormir... ”",Jean Marais,Notes,Tendresse,,
"“Un moustique dure une journée, une rose trois jours. Un chat dure treize ans, l’amour trois. C’est comme ça. Il y a d’abord une année de passion, puis une année de tendresse et enfin une année d’ennui.”",Frédéric Beigbeder,L’Amour dure trois ans,Tendresse,,
"“Salut ; c'est le printemps ! c'est l'ange de tendresse !. Ne devinez-vous pas pourquoi je bous d'ivresse ?. Ange de ma grand-mère, ange de mon berceau,. Ne devinez-vous pas que je deviens oiseau,. Que ma lyre frissonne et que je bats de l'aile. Comme hirondell”",Arthur Rimbaud,Un Coeur sous une soutane,Tendresse,,
"“Il n'y a jamais eu de créature. Il n'y a jamais eu que le couple. Dieu n'a pas créé l'homme et la femme l'un après l'autre. Il a créé deux corps jumeaux, unis par des lanières de chair qu'il a tranchées depuis, le jour où il a créé la tendresse.”",Jean Giraudoux,,Tendresse,,
“L'organe génital est le fond des tendresses humaines.”,Gustave Flaubert,Correspondance,Tendresse,,
“L'amour a des tendresses que nous n'apprenons point qu'auprès de nos maîtresses.”,Pierre Corneille,La galerie du palais,Tendresse,,
“Les baisers sont bons partout où on les trouve.”,Georges Courteline,,Tendresse,,
“Que de fois la mère partage. Et ne garde pas sa moitié !”,Sully Prudhomme,Les Vaines tendresses,Tendresse,,
“Baiser ! Rose trémière au jardin des caresses !”,Paul Verlaine,Poèmes saturniens,Tendresse,,
“La chair des femmes se nourrit de caresses comme l'abeille de fleurs.”,Anatole France,Le lys rouge,Tendresse,5,5
“Les caresses des yeux sont les plus adorables.”,Auguste Angellier,A l’amie perdue,Tendresse,,
“Le sourire est le baiser de l'âme.”,Michel Bouthot,Chemins parsemés d'immortelles pensées,Tendresse,,
“L'amour est aussi un espace vide que les gestes remplissent.”,Jean-François Somcinsky,Les Incendiaires,Tendresse,,
“La douceur est dangereuse lorsqu'on ne l'a jamais connue.”,Jean-Michel Wyl,L'exil,Tendresse,,
“La solitude est vraiment la mère de bien des choses. Elle peut même être la mère de l'amour.”,Yves Thériault,L'Herbe de tendresse,Tendresse,,
"“L'infidélité la plus terrible, c'est de tromper le meilleur de soi en ne se respectant plus.”",Jacques Salomé,Bonjour tendresse,Tendresse,,
“Un baiser est un tour délicieux conçu par la nature pour couper la parole quand les mots deviennent superflus.”,Ingrid Bergman,,Tendresse,,
"“Si tu ne sais pas quoi faire de tes mains, transforme-les en caresses.”",Jacques Salomé,"Si je m’écoutais, je m’entendrais",Tendresse,,
“L'amour humain ne se distingue du rut stupide des animaux que par deux fonctions divines : la caresse et le baiser.”,Pierre Louÿs,Aphrodite,Tendresse,,
"“Il est doux de chanter, mais soyez-en certain :. Les lèvres chantent seulement quand elles ne peuvent embrasser.”",James Thomson,Dimanche en amont du fleuve,Tendresse,,
"“Le premier baiser à la tempe, le premier murmure à l'oreille n'ont jamais reçu équivalence de musique ou de parole.”",Rina Lasnier,Miroirs,Tendresse,,
"“Un premier baiser, ça ne se raconte pas.. - Ça se vit et ça alimente les rêves et ça crée les premières insomnies.”",Marguerite Beaudry,Tout un été l'hiver,Tendresse,,
“Vous croyez encore que l'on n'embrasse qu'avec les lèvres ; mais les vrais baisers sont des sourires.”,Denys Gagnon,Haute et profonde la nuit,Tendresse,,
"“Le langage des yeux. Quel doux dialogue, quelle merveilleuse cascade d'idées, dites dans le silence.”",Serge Côté,L'île aux oiseaux,Tendresse,,
“La passion détruite se transforme en passion de détruire.”,Raoul Vaneigem,Le livre des plaisirs,Passion,12,4
“La raison tue la passion.”,Didier Dubois,,Passion,,
“Toute passion engorgée produit sa contre passion qui est aussi malfaisante que la passion naturelle aurait été bienfaisante.”,Charles Fourier,Le nouveau monde amoureux,Passion,,
"“Les passions abaissent, la passion élève.”",Mihai Eminescu,Pensées,Passion,,
“La passion est la distraction du coeur.”,Vladimir Jankélévitch,,Passion,,
“Tout doit être fait avec passion.”,Björk,,Passion,,
"“Image, ma seule, mon unique passion.”",Charles Baudelaire,,Passion,,
“France : La passion est ici une vertu.”,Ann Radcliffe,The Romance of forest,Passion,,
“L'homme est une passion inutile.”,Jean-Paul Sartre,L'être et le néant,Passion,,
“Chaque passion parle un différent langage.”,Nicolas Boileau,Art poétique,Passion,,
“L'art de vivre consiste à sacrifier une passion basse à une passion plus haute.”,François Mauriac,,Passion,,
“Celui qui se perd dans sa passion perd moins que celui qui perd sa passion.”,Saint Augustin ,,Passion,32,3
“La passion est une obsession positive. L’obsession est une passion négative.”,Paul Carvel,Mots de tête,Passion,8,3
“La passion déteste tout ce qui n’est pas la passion.”,Alice Ferney,La conversation amoureuse,Passion,,
“Il vaut mieux se perdre dans sa passion que perdre sa passion.”,Denis Robert,Le Bonheur,Passion,,
“La passion fournit les arguments incontestables pour contourner les obstacles.”,Antoine Riboud,,Passion,,
“Un homme sans passion est un roi sans sujet.”,Vauvenargues,,Passion,,
“La passion est l'âme de la parole.”,Fénelon,Discours,Passion,,
“Toute vraie passion ne songe qu'à elle.”,Stendhal,Le rouge et le noir,Passion,,
“La passion est une hypertrophie du sentiment de la propriété.”,Etienne Rey,De l'Amour de Stendhal,Passion,,
"“La vocation, c'est avoir pour métier sa passion.”",Stendhal,,Passion,,
"“La passion, c'est l'amour des autres... ”",Henri Duvernois,,Passion,,
"“Un peu de passion augmente l’esprit, beaucoup l’éteint.”",Stendhal,Vie de Henry Brulard,Passion,,
“La passion est un laminoir qui allonge toujours les sentiments.”,Gustave Flaubert,Madame Bovary,Passion,,
“La passion la plus forte du vingtième siècle : la servitude.”,Albert Camus,,Passion,,
“Toute grande passion débouche sur l'infini.”,Michel Houellebecq,Rester vivant,Passion,,
“Toute passion vraiment profonde porte en soi son contraire.”,Mario Soldati,La messa dei villegianti,Passion,,
“La vanité est la passion dominante de l'homme.”,Henry de Montherlant,Les jeunes filles,Passion,,
"“Voyager est une passion, comme l’ambition ou l’amour.”",Letitia Elizabeth Landon,,Passion,,
“L'ambition individuelle est une passion enfantine.”,Charles de Gaulle,Les chênes qu'on abat,Passion,,
"“Dans la passion, c’est le rêve qui compte.”",Annie Ernaux,Bouillon de culture - 2 Février 2001,Passion,,
“La passion a ses raisons ; l’oisiveté ses justifications.”,Michel Bouthot,Chemins Parsemés d’immortelles pensées - 2,Passion,,
"“On a plus perdu, quand on a perdu sa passion que quand on s'est perdu dans sa passion.”",Sören Kierkegaard,,Passion,,
“Quand on a la passion de lire comment ne pas avoir en même temps la passion d'écrire ?”,Arsène Bessette,Le débutant,Passion,,
"“Ce que le public réclame, c'est l'image de la passion, non la passion elle-même.”",Roland Barthes,Mythologies,Passion,,
"“La passion de créer fonde le projet de réalisation, la passion d’aimer fonde le projet de communication, la passion de jouer fonde le projet de participation. Dissociés, ces trois projets renforcent l’unité répressive du pouvoir.”",Raoul Vaneigem,,Passion,,
“La sympathie est une passion animale et même une passion égoïste : mais c'est notre meilleure chance de nous évader de l'égoïsme.”,Georges Duhamel,Paroles de médecin,Passion,,
"“L'apparence, comme la fraîcheur, est une passion. Il y a une obsession de la vérité, mais une passion de l'apparence.”",Jean Baudrillard,Cool Memories - 1980-1985,Passion,,
“On supporte moins aisément la passion que la maladie. Il y a toujours du remords et de l'épouvante dans la passion.”,Alain,Propos sur le bonheur,Passion,,
"“L’art n'exige pas seulement la passion, il veut avant tout la vérité, et d'abord, la vérité de la passion.”",Alain Veinstein,La Partition,Passion,,
“Il est plus facile de renoncer à une passion que de la maîtriser.”,Friedrich Nietzsche,,Passion,,
“La passion est une fièvre de l'esprit qui nous laisse toujours affaiblis.”,William Penn,Fruits de la solitude,Passion,,
“On reconnaît la passion à l'interdit qu'elle jette sur le plaisir.”,Marcel Jouhandeau,,Passion,,
“Passion est passivité de l'âme et activité du corps.”,René Descartes,,Passion,14,4
“La passion est encore ce qui aide le mieux à vivre.”,Emile Zola,,Passion,,
"“Vieillir, c'est passer de la passion à la compassion. ”",Albert Camus,,Passion,,
“Le plus grand effort de la passion est de l'emporter sur l'intérêt. ”,Jean de La Bruyère,,Passion,,
“La passion est sourde et muette de naissance.”,Honoré de Balzac,La muse du département,Passion,,
"“La jeunesse, c'est la passion pour l'inutile.”",Jean Giono,,Passion,,
“Il n'est pas de passion de femme qui ne renferme des ferments de crime.”,Eugène Cloutier,Les Inutiles,Passion,,
"“La passion nous fait renaître à la vie, nous sensibilise à la mort.”",Gilbert Langlois,Le domaine Cassaubon,Passion,,
"“Comme une pollution nocturne, le rêve érotique témoigne de la passion rêvée.”",Roland Delisle,,Passion,,
“Le désir de dominer est une passion dévorante qui étouffe tout sentiment.”,Tacite,,Passion,,
“Toute passion et toute action s’accompagnent logiquement de plaisir ou de peine.”,Aristote,Ethique à Nicomaque,Passion,,
"“L’homme comme le Christ est fait de chaire, de sang et de passion.”",Alfonso Di Lernia,,Passion,,
“L'habitude menace la passion ; elle fonde et forme l'amour.”,Gilles Leroy,Champsecret,Passion,,
“L'Homme a besoin de passion pour exister.”,Eric Tabarly,Mémoires du large,Passion,,
“La passion détruit plus de préjugés que la philosophie.”,Denis Diderot,Discours sur la poésie dramatique,Passion,,
“La passion s'accroît en raison des obstacles qu'on lui oppose.”,William Shakespeare,Tout est bien qui finit bien,Passion,,
“Rien de grand ne s’est accompli dans le monde sans passion.”,Friedrich Hegel,Introduction à la philosophie de l’histoire,Passion,,
"“Le caractère, c'est-à-dire la passion d'être soi, à tout prix. ”",André Suarès,Le voyage du condottiere,Passion,,
"“Donner est une passion, presque un vice. La personne à qui nous donnons nous devient nécessaire.”",Cesare Pavese,Le métier de vivre,Passion,,
“La vie est une passion par laquelle la beauté passe à une perfection moindre.”,Claire de Lamirande,Signé de biais,Passion,,
“Il n'y a point de passion plus égoïste que celle de la luxure.”,Marquis de Sade,Aline et Valcour,Passion,,
"“La lutte donne au triomphe la saveur de la passion, et la victoire embellit la conquête.”",Georges Meredith,Les Comédiens tragiques,Passion,,
“Les serments les plus forts se consument au feu de la passion comme une paille légère.”,William Shakespeare,La Tempête,Passion,,
"“Comme l’amour, l’art n’est pas plaisir mais passion.”",André Malraux,Les Voix du silence,Passion,,
“Le mieux est d'aimer son mari par devoir et non par passion...”,Duchesse d'Orléans,"Mélanges historiques anecdotiques, critiques",Passion,,
"“Il y a du supplice dans la passion, le mot l'indique.”",Alain,Les arts et les dieux,Passion,,
“Une femme peut aisément se déguiser en monstre lorsque la passion l'aveugle.”,Louis Pelletier-Dlamini,Pomme-de-pin,Passion,,
"“Le spectacle de la mort, chez les jeunes gens, exalte la passion de vivre.”",Pierre Châtillon,Philédor Beausoleil,Passion,,
"“Où la passion rôde, la compétition guette. Ou serait-ce l'inverse ?”",Robert Blondin,7ème de solitude ouest,Passion,,
“C'est la passion qui est puissance ; la nature de son objet est négligeable.”,Pierre Gélinas,L'or des Indes,Passion,,
"“Il ne suffit pas de mépriser une passion, pour ne pas l'éprouver.”",Léo-Paul Desrosiers,Vous qui passez,Passion,,
“Les mirages de la passion dans un coeur longtemps pur sont déconcertants.”,Robert Charbonneau,Ils posséderont la terre,Passion,,
“La passion ne peut déboucher sur le malheur ou le bonheur ; elle est sa propre fin.”,Réjean Bonnenfant,Un amour de papier,Passion,,
“Le ridicule ne s'exprime qu'au premier âge d'une passion.”,Marie-Claire Blais,Les Nuits de l'Underground,Passion,,
“La passion est mieux guidée par la lumière du sentiment que par des idées suivies.”,Charles Pinot Duclos,,Passion,,
“Comment souffrir que la passion soit mise au même rang que la raison ?”,Sénèque,De la colère,Passion,,
"“Si je laissais la passion pénétrer dans mon corps, la douleur viendrait rapidement à sa suite.”",Michel Houellebecq,Plateforme,Passion,,
“Les excès de passion sont toujours regrettables c’est le contraire de l’intelligence.”,Michel Audiard,,Passion,,
"“Même si la passion nous déchire,. elle ne doit pas briser ce qui nous lie.”",Tony Kaye,American History X,Passion,,
“Souvent la passion meurt de ce qui l’a fait naître.”,Maurice Druon,Les Rois maudits,Passion,,
“Tout ce qui n'est pas passion est sur un fond d'ennui.”,Henry de Montherlant,Aux frontières du désir,Passion,,
“La passion de la perfection vous fait détester même ce qui en approche.”,Gustave Flaubert,Louise Colet - 17 Septembre 1846,Passion,,
“La passion peut se comparer à la loterie :. duperie certaine et bonheur cherché par les fous !”,Stendhal,Le Rouge et le noir,Passion,,
“La sotte vanité semble être une passion inquiète de se faire valoir par les petites choses.”,Théophraste,Caractères,Passion,,
"“Quand on est pris par la passion, il faut essayer de lutter, mais pas trop.”",Tristan Bernard,Deux amateurs de femmes,Passion,,
"“La passion est une existence primitive ou, si vous le voulez, un mode primitif d’existence.”",David Hume,Traité de la nature humaine,Passion,,
"“Excepté pour la passion du héros, un roman doit être un miroir. ”",Stendhal,Lucien Leuwen,Passion,,
“Une passion doit être accompagnée d’un faux jugement pour être déraisonnable.”,David Hume,"Traité de la nature humaine, 1739",Passion,,
