Citations,Auteur,Source,Thèmes,Nombre d'avis,Notes
“Il faudrait comprendre que les choses sont sans espoir et être pourtant décidé à les changer.”,Francis Scott Fitzgerald,Gatsby le magnifique,Espoir,,
"“L'espoir, une des rares choses que l'on entretienne à peu de frais - souvent même pour rien.”",Pierre Daninos,La première planète à droite...,Espoir,,
"“C'est cela l'amour, tout donner, tout sacrifier sans espoir de retour.”",Albert Camus,Les Justes,Espoir,,
“L'action est une suite d'actes désespérés qui permet de gagner l'espoir.”,Georges Braque,Le jour et la nuit,Espoir,,
"“Espérons l'impossible, car c'est peut-être une bassesse que de mettre son espoir en lieu sûr.”",Natalie Clifford Barney,Pensées d'une Amazone,Espoir,,
“La solitude conserve neuf.”,Paul Léautaud,,Solitude,25,2
“La solitude de l'esprit est la véritable solitude.”,Charles Hamel,Solitude de la chair,Solitude,25,3
“Solitude : la double solitude où sont tous les amants.”,Anna de Noailles,,Solitude,,
“La vérité est solitude. L'agonie est solitude.”,Huguette Leblanc,La nuit des immensités.,Solitude,,
“La solitude est un art.”,Vilhelm Ekelund,Aphorismes,"Solitude, Art",29,3
“Solitude : douce absence de regards.”,Milan Kundera,L'immortalité,Solitude,,
“La solitude appelle la multitude.”,Serge Bonnet et Bernard Gouley,Les ermites,Solitude,12,4
“La foule est une solitude.”,Lyse Longpré,Le destin s'amuse,Solitude,,
“La solitude est une prison.”,Lao She,Quatre générations sous un même toit,Solitude,27,4
“La solitude est un arbre sans fruits.”,François Chalais ,,Solitude,14,4
“La solitude est le nid des pensées.”,Proverbe kurde ,,Solitude,26,4
“Qui comprend l’humanité recherche la solitude.”,Hazrat Ali ,,Solitude,91,4
“La solitude vivifie ; l'isolement tue.”,Joseph Roux,,Solitude,,
“La solitude est la patrie des forts.”,Reine Malouin,Profonds destins,Solitude,,
“La solitude de Dieu est Sa force.”,George Bernard Shaw,Sainte-Jeanne,Solitude,,
“La solitude est essentielle à la fraternité.”,Gabriel Marcel,La dignité humaine,Solitude,,
"“Dans la solitude, on devient souvent méfiant.”",Léo-Paul Desrosiers,Vous qui passez,Solitude,,
"“La solitude, c’est promener son chien.”",Aziz Chouaki,Arobase,Solitude,,
“Paris est une solitude peuplée. Une ville de province est un désert sans solitude.”,François Mauriac,,Solitude,,
"“L'isolement n'est pas la solitude absolue, qui est cosmique ; l'autre solitude, la petite solitude n'est que sociale.”",Eugène Ionesco,Le solitaire,Solitude,,
“La tristesse vient de la solitude du coeur.”,Montesquieu,,Solitude,,
“La peinture est une cérémonie en solitude.”,Alain,,Solitude,,
“Je ne suis jamais moins seul que dans la solitude.”,Scipion l'Africain,,Solitude,,
“Rien ne peut être fait sans la solitude.”,Pablo Picasso,,Solitude,,
“La solitude est l'élément des grands esprits.”,Christine de Suède,,Solitude,,
“Les vrais misanthropes ne se trouvent pas dans la solitude.”,Giacomo Leopardi,,Solitude,,
“Mieux vaut une bonne querelle que la solitude.”,Proverbe irlandais,,Solitude,,
"“Le prix de la liberté, c'est la solitude.”",Hervé Godec,,Solitude,,
“La solitude est un plat qui se mange seul.”,Achille Chavée,Décoctions,Solitude,,
"“Fréquentez le monde, la solitude est une demi-folie.”",Proverbe oriental,,"Solitude, Folie",,
"“La solitude, c’est pire quand on est seul.”",Gilles Veber,Gauthier,Solitude,,
“La pire souffrance est dans la solitude qui l’accompagne.”,André Malraux,La condition humaine,Solitude,,
"“La solitude rend sensible, non étranger à autrui.”",Mika Waltari,Rapport à l'Académie,Solitude,,
“Rien ne peut être fait dans la solitude.”,Pablo Picasso,Métamorphose et unité,Solitude,,
"“On peut tout acquérir dans la solitude, hormis du caractère.”",Stendhal,De l’amour,Solitude,,
“La solitude désole le coeur et contente l'esprit.”,Camille Belguise,Echos du Silence,Solitude,,
“La solitude effraie une âme de vingt ans.”,Molière,Le misanthrope,Solitude,,
"“A tous les amoureux, la solitude est dangereuse.”",Ovide,Remèdes à l'amour,Solitude,,
“Toute production importante est l'enfant de la solitude.”,Johann Wolfgang von Goethe,Mémoires,Solitude,,
"“Dans les grandes émotions, la solitude est parfois salutaire.”",Joseph Lallier,Allie,Solitude,,
"“La solitude est bonne pour les calmes, pour les forts.”",Laure Conan,Angéline de Montbrun,Solitude,,
“La solitude est le principal avantage que procure la société.”,Pierre Baillargeon,Commerce,Solitude,,
"“Ce qui tue, c'est la solitude.”",Claire France,"Autour de toi, Tristan",Solitude,,
“La solitude est comparable à une lampe qui baisse.”,Francis Picabia,Ecrits,Solitude,,
“La solitude peut être une forme de compagnie.”,Marc Levy,Vous revoir,Solitude,,
“L'enfer est tout entier dans ce mot : solitude.”,Victor Hugo,La fin de Satan,Solitude,,
"“C’est peut-être cela le Purgatoire, une solitude éternelle.”",Marc Levy,Et si c’était vrai...,Solitude,,
“Il faut aimer la solitude pour être photographe.”,Raymond Depardon,Bouillon de culture - 24 Novembre 2000,"Solitude, Aimer",11,4
"“Le pire des fléaux, c'est la solitude.”",Artus de Penguern,Ciné Live - Novembre 2001,Solitude,,
“La solitude n’est pas une mauvaise compagne.”,François Bayrou,Le Point - 17 mai 2007,Solitude,,
“La solitude est souvent plus aigüe à deux que seul.”,José Artur,"Parlons de moi, y'a que ça qui m'intéresse",Solitude,,
“La solitude est bonne aux grands esprits et mauvaise aux petits. La solitude trouble les cerveaux qu'elle n'illumine pas.”,Victor Hugo,Choses vues,Solitude,21,4
“On ne va jamais jusqu'au fond de sa solitude.”,Georges Bernanos,,Solitude,,
"“On ne tombe pas dans la solitude, parfois on y monte.”",Henri Thomas,,Solitude,,
“Etre solitaire est un choix ; la solitude ne l'est pas.”,Anonyme,,Solitude,,
“Il n'y a plus de solitude là où est la poésie.”,Charles-Ferdinand Ramuz,,Solitude,,
"“La solitude exaspère tant de monde et le monde, le solitaire.”",Fabien Blanchot,,Solitude,,
“La solitude est propice aux révélations de l'esprit. ”,Jacques Chardonne,Attachements,Solitude,,
“La solitude et la promiscuité sont les deux contraires les plus identiques du monde.”,Louis Scutenaire,Mes inscriptions,Solitude,,
“Il ne manque aux douceurs de la solitude que de pouvoir être endurées.”,Jacques Deval,Afin de vivre bel et bien,Solitude,,
“La solitude est une arme dont le canon est pointé vers celui qui la tient.”,Michaël Veuillet,,Solitude,,
“Il est peu de plaies morales que la solitude ne guérisse.”,Honoré de Balzac,Madame de la Chanterie,Solitude,,
“Il y aura toujours de la solitude pour ceux qui en sont dignes. ”,Jules Barbey d’Aurevilly,,Solitude,,
“La solitude ne dépend pas de l'extérieur ;. C'est une chose du dedans.”,Edouard Estaunié,,Solitude,,
“Je crois à la volupté de la chair et à l’irrémédiable solitude de l’âme.”,Hjalmar Soderberg,Gertrud,Solitude,,
“La solitude et le sentiment de n'être pas désiré sont les plus grandes pauvretés.”,Mère Teresa,,Solitude,,
“L'égoïsme aspire à la solitude pour échapper à la dépendance.”,Henri Lacordaire,Pensées choisies,Solitude,,
“La solitude est l'outil principal de l'écrivain.”,Louis Pauwels,Ce que je crois,Solitude,,
“La solitude serait un endroit idéal si on pouvait choisir les gens qu’on évite.”,Karl Kraus,,Solitude,,
“Cette espèce de solitude disponible que les gens appellent souvent liberté.”,Gilbert Laroque,Corridors,Solitude,,
“Dans la solitude du pouvoir il n'y a que des visionnaires ironiques.”,Paul Ohl,Katana,Solitude,,
"“La solitude, on ne l'a jamais au bon moment.”",Gilles Archambault,Le tendre matin,Solitude,,
“La solitude est riche quand on la traverse et que quelqu'un nous attend.”,Pauline Michel,Mirage,Solitude,,
“Les écrivains sont des ours de société. Ils goûtent la solitude sur un théâtre.”,Roger Judrin,,"Solitude, Theatre",,
“La vraie sagesse se trouve loin des gens dans la grande solitude.”,Proverbe eskimo,,"Solitude, Sagesse",,
